Type,Noun,Tags,Hex,Notes
DB,U699 Fir Green,Uni Colors,#3D463B,Near-black forest green
DB,U702 Cashmere Grey,Uni Colors,#BEB5AC,Popular warm grey
DB,U705 Angora Grey,Uni Colors,#BDB5AD,Warm-toned light grey
DB,U707 Silk Grey,Uni Colors,#D9D7CE,Lightest warm grey
DB,U708 Light Grey,Uni Colors,#C8C9C7,Standard architectural grey
DB,U717 Dakota Grey,Uni Colors,#A9A297,Earthy mid-grey
DB,U727 Stone Grey,Uni Colors,#8D877E,Classic stone neutral
DB,U732 Dust Grey,Uni Colors,#7E8082,Sophisticated cool grey
DB,U740 Dark Grey,Uni Colors,#646668,Deep cool grey
DB,U741 Lava Grey,Uni Colors,#57544F,Warm near-black grey
DB,U748 Truffle Grey,Uni Colors,#87827B,Warm earthy mid-grey
DB,U750 Taupe Grey,Uni Colors,#A39B92,Muted brown-grey
DB,U763 Pearl Grey,Uni Colors,#B7B3AB,Light warm grey
DB,U767 Cubanit Grey,Uni Colors,#8B857E,Metallic-look solid grey
DB,U775 White Grey,Uni Colors,#E3E1D5,Off-white cool grey
DB,U780 Monument Grey,Uni Colors,#7C7871,Deep architectural stone
DB,U788 Arctic Grey,Uni Colors,#F0F2F2,Lightest cool grey
DB,U807 Lotus Brown,Uni Colors,#A39B92,Soft floral brown
DB,U818 Dark Brown,Uni Colors,#423B35,Near-black coffee brown
DB,U830 Caramel Brown,Uni Colors,#956F4A,Warm honey brown
DB,U899 Soft Black,Uni Colors,#2E2E2E,Muted charcoal black
DB,U960 Onyx Grey,Uni Colors,#5F6163,Deep saturated charcoal
DB,U961 Graphite Grey,Uni Colors,#3B3D3F,Near-black dark grey
DB,U963 Diamond Grey,Uni Colors,#A3A6A9,Cool blue-toned grey
DB,U968 Carbon Grey,Uni Colors,#4E5256,Cool dark coal grey
DB,U989 Black Silver,Uni Colors,#36393D,Metallic black solid
DB,U999 Black,Uni Colors,#111111,Absolute matte black
DB,H1107 Grey Santa Fe Oak,Woodgrains,#9A9084,Vintage weathered oak
DB,H1113 Natural Kansas Oak,Woodgrains,#BFA582,Classic planked oak
DB,H1115 Grey-Beige Bamenda,Woodgrains,#8D8579,Linear exotic wood
DB,H1122 White Whitewood,Woodgrains,#E7E4DB,Subtle soft linear wood
DB,H1123 Graphite Whitewood,Woodgrains,#4E5155,Dark architectural linear
DB,H1133 Horizontal Hamilton Oak,Woodgrains,#B8A388,Cross-grain classic oak
DB,H1137 Black-Brown Sorano Oak,Woodgrains,#3A3530,Near-black oak grain
DB,H1145 Natural Bardolino Oak,Woodgrains,#BCAC97,Light rustic saw-cut oak
DB,H1146 Grey Bardolino Oak,Woodgrains,#A1988B,Muted grey saw-cut oak
DB,H1176 White Halifax Oak,Woodgrains,#D9D2C5,Knotted light luxury oak
DB,H1180 Natural Halifax Oak,Woodgrains,#B6A082,Iconic raw oak reproduction
DB,H1181 Tobacco Halifax Oak,Woodgrains,#5B4F43,Dark rustic distressed oak
DB,H1189 Grey-Beige Kendal Oak,Woodgrains,#A5998A,Natural elegant oak
DB,H1199 Black Thermo Oak,Woodgrains,#34302C,Deep scorched oak look
DB,H1210 Grey-Beige Tossini Elm,Woodgrains,#9D9284,Modern linear elm
DB,H1212 Brown Tossini Elm,Woodgrains,#6F5E4E,Rich linear elm
DB,H1213 Natural Tossini Elm,Woodgrains,#B29B7D,Warm classic elm
DB,H1227 Brown Abano Ash,Woodgrains,#4A3E34,Deep matte ash
DB,H1228 Anthracite Abano Ash,Woodgrains,#2E2B29,Near-black architectural ash
DB,H1250 Navarra Ash,Woodgrains,#D3C1AD,Light sand-colored ash
DB,H1277 Light Lakeland Acacia,Woodgrains,#DBCBAE,Natural subtle acacia
DB,H1312 Sand Whiteriver Oak,Woodgrains,#C8B9A3,Rustic light oak
DB,H1313 Grey Whiteriver Oak,Woodgrains,#968D81,Weathered grey oak
DB,H1330 Vintage Santa Fe Oak,Woodgrains,#8C7A65,Distressed antique oak
DB,H1331 Anthracite Santa Fe Oak,Woodgrains,#4B4844,Dark weathered oak
DB,H1334 Light Sorano Oak,Woodgrains,#D6C8AF,Pale classic oak
DB,H1344 Sherman Oak Cognac,Woodgrains,#A38463,Rich warm oak
DB,H1345 Sherman Oak Grey,Woodgrains,#938B81,Cool-toned rustic oak
DB,H1346 Sherman Oak Anthracite,Woodgrains,#4A4744,Darkest rustic oak
DB,H1367 Light Natural Casella Oak,Woodgrains,#D0C1AC,Elegant refined light oak
DB,H1385 Natural Casella Oak,Woodgrains,#BFA98F,Classic medium oak
DB,H1399 Truffe Riverside Oak,Woodgrains,#8E7F70,Warm grey-brown oak
DB,H1400 White Attic Pine,Woodgrains,#E2DFD6,Whitewashed rustic pine
DB,H1401 Cascina Pine,Woodgrains,#D6D1C6,Light vintage pine
DB,H1486 Pasadena Pine,Woodgrains,#B7A892,Muted architectural pine
DB,H1615 Verona Cherry,Woodgrains,#A87A5E,Classic warm cherry
DB,H1636 Natural Locarno Cherry,Woodgrains,#B48464,Rich traditional cherry
DB,H1710 Sand Kentucky Chestnut,Woodgrains,#BCAC95,Light rustic chestnut
DB,H1714 Lincoln Walnut,Woodgrains,#745E4A,High-contrast luxury walnut
DB,H3041 Natural Eucalyptus,Woodgrains,#8E7B6A,Shimmering tropical wood
DB,H3131 Natural Davos Oak,Woodgrains,#B9A384,Warm modern oak
DB,H3133 Truffle Davos Oak,Woodgrains,#8B7D6F,Earthy modern oak
DB,H3157 Vicenza Oak,Woodgrains,#CDBFAD,Elegant subtle oak
DB,H3158 Grey Vicenza Oak,Woodgrains,#9A9285,Cool subtle oak
DB,H3170 Natural Kendrick Oak,Woodgrains,#B7A287,Clean refined oak
DB,H3180 Brown Halifax Oak,Woodgrains,#74614E,Rich rustic oak
DB,H3182 Black Halifax Oak,Woodgrains,#363330,Darkest Halifax grain
DB,H3190 Anthracite Fineline,Woodgrains,#4A4A4A,Ultra-linear dark wood
DB,H3192 Brown Fineline,Woodgrains,#7E6A56,Ultra-linear warm wood
DB,H3303 Natural Hamilton Oak,Woodgrains,#B8A388,Classic honey oak
DB,H3331 Natural Nebraska Oak,Woodgrains,#BBA98E,Soft rustic oak
DB,H3332 Grey Nebraska Oak,Woodgrains,#9E9588,Cool rustic oak
DB,H3349 Kendall Oak,Woodgrains,#A29483,Versatile clean oak
DB,H3359 Light Highlands Oak,Woodgrains,#D1C1AB,Pale airy oak
DB,H3368 Natural Lancaster Oak,Woodgrains,#C1AB8E,Traditional warm oak
DB,H3395 Natural Corbridge Oak,Woodgrains,#B5A28A,Subtle medium oak
DB,H3398 Kendall Oak Cognac,Woodgrains,#947A5C,Deep warm oak
DB,H3403 White Mountain Larch,Woodgrains,#E1DCD1,Soft vertical needlewood
DB,H3404 Brown Mountain Larch,Woodgrains,#8E7E6A,Rustic vertical needlewood
DB,H3406 Anthracite Mountain Larch,Woodgrains,#4A4743,Dark vertical needlewood
DB,H3430 White Aland Pine,Woodgrains,#E3DFD5,Lightest planked pine
DB,H3433 Polar Aland Pine,Woodgrains,#D8D3C8,Cool-toned planked pine
DB,H3451 Champagne Fleetwood,Woodgrains,#D1C4B1,Elegant linear soft wood
DB,H3453 Grey Fleetwood,Woodgrains,#A2998C,Linear architectural grey wood
DB,H3700 Natural Pacific Walnut,Woodgrains,#B19B82,Modern varied walnut
DB,H3702 Tobacco Pacific Walnut,Woodgrains,#645749,Dark varied walnut
DB,H3710 Natural Carini Walnut,Woodgrains,#9C8974,Fine classic walnut
DB,H3730 Natural Hickory,Woodgrains,#BBA588,Bold rustic hickory
DB,H3840 Natural Mandal Maple,Woodgrains,#DCCDB2,Clean bright maple
DB,F121 Anthracite Metal Rock,Material Reproductions,#4A4A4A,Dark industrial stone
DB,F186 Light Grey Chicago Concrete,Material Reproductions,#A8A5A0,Realistic cool concrete
DB,F187 Dark Grey Chicago Concrete,Material Reproductions,#6E6A66,Deep architectural concrete
DB,F204 White Carrara Marble,Material Reproductions,#E6E7E8,Classic stone reproduction
DB,F205 Anthracite Pietra Grigia,Material Reproductions,#4E4E4E,Dark marble with light veins
DB,F206 Black Pietra Grigia,Material Reproductions,#3D3D3D,Pure black marble reproduction
DB,F242 Anthracite Jura Slate,Material Reproductions,#454545,Tactile dark slate
DB,F302 Grey Ferra Marble,Material Reproductions,#9E9E9E,Soft grey clouded marble
DB,F416 White Beige Textile,Material Reproductions,#DED8CE,Woven fabric look
DB,F417 Grey Textile,Material Reproductions,#A39E96,Neutral fabric look
DB,F461 Anthracite Metal Fabric,Material Reproductions,#4A4845,Technical industrial weave
DB,F628 Silver Grey Metal Slate,Material Reproductions,#919191,Metallic slate hybrid
DB,F637 White Chromix,Material Reproductions,#E8E7E2,Concrete-plaster hybrid
DB,F638 Chrome Chromix,Material Reproductions,#9A9A9A,Metallic mid-grey hybrid
DB,F642 Bronze Chromix,Material Reproductions,#7A6A5A,Warm metallic hybrid
